endTime,artistName,trackName,msPlayed,track_uri
2020-12-21 13:23,Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",452,spotify:track:6SkoBaMd0lzoQjID5aV2d9
2020-12-21 13:23,Liam Payne,Strip That Down (feat. Quavo),1323,spotify:track:29JrmE89KgRyCxBIzq2Ocw
2020-12-21 13:23,DNCE,Truthfully,824,spotify:track:2lBqyCeue1bCd6HCZtKXHu
2020-12-21 13:23,Peter Hollens,At the Beginning,0,spotify:track:4rONfUG09RBdY299o0rvm8
2020-12-21 13:23,The Vamps,Million Words,766,spotify:track:2ZW2EGOOGV2voXGLkNU42Z
2020-12-21 13:23,John Powell,Test Drive - From How To Train Your Dragon Music From The Motion Picture,835,spotify:track:2QTDuJIGKUjR7E2Q6KupIh
2020-12-21 13:23,5 Seconds of Summer,Ghost Of You,0,spotify:track:1MhXdlCQPnO56T57MfmaRm
2020-12-21 13:23,We The Kings,Sad Song (feat. Elena Coats),905,spotify:track:05CrK6Q5VGtfPDtyQFJ4Kf
2020-12-21 13:23,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",1102,
2020-12-21 13:23,Dan Stevens,Evermore,893,spotify:track:3Yn97I3qIj7Px0Bi4rkD2q
2020-12-21 13:23,Thomas Bergersen,Empire of Angels,719,spotify:track:3AnYGQ8PB3lYrA6ToVUXa3
2020-12-21 13:23,Rixton,Me And My Broken Heart,801,spotify:track:1oew3nFNY3vMacJAsvry0S
2020-12-21 13:23,Rixton,Speakerphone,812,spotify:track:0TcJDCInjJ3WdJIU1HDgOG
2020-12-21 13:23,Little Mix,Secret Love Song (feat. Jason Derulo),1486,spotify:track:6KHL1En9v6iNWjcs44mcmU
2020-12-21 13:23,Parachute,Forever And Always,1010,spotify:track:3NCg46FWgnANZc9HQHQOQR
2020-12-21 13:23,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),743,spotify:track:6GzApXoBQiiAjak3tOQfV3
2020-12-22 01:32,'Legally Blonde' Ensemble,Whipped into Shape,731,spotify:track:0u9Qa4tnR77Tbb0uX1hs41
2020-12-22 01:32,Auli'i Cravalho,Live Your Story,1880,
2020-12-22 01:32,Michael Arden,Made Of Stone,2229,spotify:track:7pergIYWt3hVCqvrl8NZkR
2020-12-22 01:32,Leah Greenhaus,I Know It's Today,2043,spotify:track:6zEEGZVvTnbyPtaovocFwy
2020-12-22 01:32,Sarah Jeffery,Queen of Mean,185,spotify:track:4o05DiC0RQ9DNtGJGauwna
2020-12-22 01:32,Jennifer Hudson,I Know Where I've Been,1102,spotify:track:1kRGTor0WEKB90LWOTIxfR
2020-12-22 01:32,Matilda the Musical Original Cast,Naughty,940,spotify:track:64DXFDl2A6ObNy7iXFlZzZ
